Method	Value
forc_0	0.9622075305494365
forc_1	2.842956566437126
forc_2	2.7878648302550157
forc_3	2.7390244104573784
forc_4	2.7576631437566475
forc_5	2.6447835415826932
forc_6	2.9207912751420095
forc_7	2.705403749276628
forc_8	2.819041080551606
forc_9	3.010013227733319
forc_10	2.753879305416113
forc_11	2.8251320369856097
forc_12	2.7970814306907656
forc_13	2.8925194540933625
forc_14	2.791294590829878
forc_15	2.897548396503277
forc_16	2.785502524787712
forc_17	2.8131123175069166
forc_18	2.7034986628137188
forc_19	2.8356303164142154
forc_20	2.811338166211235
forc_21	2.8506213802605918
forc_22	2.7802243622284726
forc_23	2.8856859658254526
forc_24	2.630138013995822
forc_25	2.9157912777934314
forc_26	2.7628454715978066
forc_27	2.9342920194522732
forc_28	2.8260930108038913
forc_29	2.716682667760356
forc_30	3.00264818331217
forc_31	2.81856320093798
forc_32	2.7687632470873202
forc_33	2.750834363498311
forc_34	2.8328499829610467
forc_35	2.710337877883466
forc_36	3.019643676202904
forc_37	2.8972608440749243
forc_38	2.9986987501721716
forc_39	2.9699968909905086
forc_40	2.7876121496367734
forc_41	2.7568481788847534
forc_42	2.960007669704431
forc_43	2.8465427769811043
forc_44	2.7239500805270023
forc_45	2.9678505577557797
forc_46	2.8613656723496206
forc_47	2.7146644674150906
forc_48	2.854122332367043
forc_49	3.0340443303972684
forc_50	2.8879700520233067
forc_51	2.783982046064498
forc_52	2.607267675223643
forc_53	2.9256536175185035
forc_54	2.7739820651484832
forc_55	2.699002287777499
forc_56	2.782822016551679
forc_57	2.938254426676922
forc_58	2.9504671603440844
forc_59	2.6615519300557176
forc_60	2.719738329818915
forc_61	2.7999947329444246
forc_62	2.604667170026154
forc_63	2.8724143777004825
forc_64	2.724341453935754
forc_65	2.8210436599687223
forc_66	2.7559729011136773
forc_67	2.8363314809300517
forc_68	2.7214983988789703
forc_69	2.7552844770926144
forc_70	2.7959738834342067
forc_71	2.842799424031985
forc_72	2.817017088346782
forc_73	2.8341839560559836
forc_74	2.859290612994198
forc_75	2.9466840362335893
forc_76	2.629043335173888
forc_77	2.902481855989475
forc_78	2.982550073498681
forc_79	2.8345374711317852
forc_80	2.8882906714764673
forc_81	2.659690114251682
forc_82	2.898665403133036
forc_83	2.700104226165407
forc_84	2.8440209485025933
forc_85	2.7719961097164347
forc_86	2.9001694700729113
forc_87	2.8323138316435656
forc_88	2.798366771963821
forc_89	3.042579109252425
