Method	Value
forc_1	1.384941010920032
forc_2	1.4288716245342645
forc_3	1.4504441239410426
forc_4	1.37569659153888
forc_5	1.3758240593487348
forc_6	1.4386383714183042
forc_7	1.426439752366551
forc_8	1.3860111232667702
forc_9	1.4125691899318145
forc_10	1.3980532987980208
forc_11	1.427882048862132
forc_12	1.3498846171516905
forc_13	1.4160932747411163
forc_14	1.3983272738379158
forc_15	1.4232628557874363
forc_16	1.4788602299455063
forc_17	1.42625270276284
forc_18	1.3990141951183894
forc_19	1.410030814503156
forc_20	1.4028708161224344
forc_21	1.4304133527288725
forc_22	1.385559426062158
forc_23	1.4301613299733926
forc_24	1.3625521219315477
forc_25	1.3462054112046893
forc_26	1.3903770115942629
forc_27	1.3606944473045175
forc_28	1.393596314370686
forc_29	1.4176564021654379
forc_30	1.3746903302706357
forc_31	1.3901818552175476
forc_32	1.391998519649785
forc_33	1.3554819256626198
forc_34	1.394910175219463
forc_35	1.3576531006129664
forc_36	1.445748086002663
forc_37	1.41006878544356
forc_38	1.3895075159278611
forc_39	1.4330525022163658
forc_40	1.3967471189129377
forc_41	1.4072604512183053
forc_42	1.3719872356408942
forc_43	1.3956117583244456
forc_44	1.3805004003046064
forc_45	1.4591742514564243
forc_46	1.3733778343226195
forc_47	1.3703242253991645
forc_48	1.3957150158641298
forc_49	1.3967017468018532
forc_50	1.3837941248825285
forc_51	1.415909412834345
forc_52	1.3800674769832872
forc_53	1.4392305939605816
forc_54	1.4040703606865943
forc_55	1.358522063616131
forc_56	1.419089657644597
forc_57	1.4006853389513167
forc_58	1.4523819748672404
forc_59	1.4219668092638014
forc_60	1.4119430939788657
forc_61	1.3449772834815323
forc_62	1.3789876434424555
forc_63	1.3920929526881416
forc_64	1.371905595823422
forc_65	1.4007428887724307
forc_66	1.3942023465079394
forc_67	1.3726565882128074
forc_68	1.4147198098040428
forc_69	1.3949346021210982
forc_70	1.3604851169029863
forc_71	1.3737353844682922
forc_72	1.381936369909525
forc_73	1.3909890618915788
forc_74	1.4065674028448887
forc_75	1.3633030825772887
forc_76	1.4136572893431683
forc_77	1.4254383708614433
forc_78	1.4139110412883034
forc_79	1.4228736369798936
forc_80	1.3986589250303971
forc_81	1.3692626826822147
forc_82	1.4503647876440533
forc_83	1.4497128323234059
forc_84	1.4335719715077326
forc_85	1.4160662847287377
forc_86	1.4134235065048617
forc_87	1.380432712180355
forc_88	1.4396399835022389
forc_89	1.3891270140731118
forc_90	1.3997596327762212
forc_91	1.4203080476160301
forc_92	1.3916339374650104
forc_93	1.3997551398959973
forc_94	1.3747227493880771
forc_95	1.4310358162188255
forc_96	1.3933230521679303
forc_97	1.3715116118347417
forc_98	1.4003576832428637
forc_99	1.3846289798140106
forc_100	1.3682891737482321
forc_101	1.3971763564826511
forc_102	1.4139421235754632
forc_103	1.3550979503294578
forc_104	1.4106040134435351
forc_105	1.433227147417564
forc_106	1.358177227728391
forc_107	1.3962526444314836
forc_108	1.4631681967505323
forc_109	1.421515305460377
forc_110	1.3607834379754373
forc_111	1.3943906221445816
forc_112	1.3724316277157644
forc_113	1.3621168928879717
forc_114	1.4268246001498341
forc_115	1.4259142834153544
forc_116	1.3928915976612062
forc_117	1.3907242385449394
forc_118	1.4182383250752901
forc_119	1.38375074539426
forc_120	1.335967356102434
forc_121	1.437681150890736
forc_122	1.4153998317620609
forc_123	1.3820086745480573
forc_124	1.3508334662714103
forc_125	1.383280553040519
forc_126	1.35853732504023
forc_127	1.4129199674066342
forc_128	1.3950775564441023
forc_129	1.446463114111496
forc_130	1.3881191641526058
forc_131	1.4443327467570126
forc_132	1.3940046169648765
forc_133	1.4006496094248257
forc_134	1.4220854901701114
forc_135	1.4400017055375454
forc_136	1.4202805359353325
forc_137	1.3925597062462651
forc_138	1.4417036720952743
forc_139	1.3701300223109794
forc_140	1.3949635318065328
forc_141	1.4227153803845878
forc_142	1.38966554684691
forc_143	1.399426017756862
forc_144	1.3538280033790637
forc_145	1.4483173446143578
forc_146	1.3761776922788895
forc_147	1.4328365146785842
forc_148	1.35017672916184
forc_149	1.3576438863335492
forc_150	1.3662795259304898
forc_151	1.419706155739106
forc_152	1.3790777535849001
forc_153	1.39936765210361
forc_154	1.4301698618635232
forc_155	1.3688210486785277
forc_156	1.3943050656816494
forc_157	1.3744474800178108
forc_158	1.412228755390091
forc_159	1.4202578791537837
forc_160	1.3917863175418774
forc_161	1.3916968822132272
forc_162	1.3760970432897275
forc_163	1.3997951528148496
forc_164	1.3911342333148173
forc_165	1.4177466002994772
forc_166	1.4334089399215248
forc_167	1.4557439674690973
forc_168	1.4086895228918364
forc_169	1.3361510378438475
forc_170	1.4352454188968415
forc_171	1.3730875613536824
forc_172	1.4329099588019825
forc_173	1.394887558332157
forc_174	1.3511195387720556
forc_175	1.3485218213845387
forc_176	1.3982121731473802
forc_177	1.427006218016492
forc_178	1.3663198592575934
forc_179	1.3820563637957495
forc_180	1.4061222305369885
forc_181	1.3815409877130063
forc_182	1.390645840148114
forc_183	1.4291846276035678
forc_184	1.414839994607376
forc_185	1.4194738907170565
forc_186	1.3950205210670346
forc_187	1.4235141021861575
forc_188	1.4363306882461646
forc_189	1.4329685434550006
forc_190	1.4276801478985213
forc_191	1.4703911350038101
forc_192	1.4670332855476198
forc_193	1.3824532592210885
forc_194	1.4066630664819797
forc_195	1.431281621757649
forc_196	1.415473996501443
forc_197	1.3663818897943187
forc_198	1.4035779824757066
forc_199	1.3978337414470456
forc_200	1.3352572108801344
forc_201	1.3984464314778153
forc_202	1.3595131207713878
forc_203	1.4535685853618616
forc_204	1.4045858962368423
forc_205	1.3909961382883582
forc_206	1.4407614768119814
forc_207	1.3969358735137802
forc_208	1.3965539587720397
forc_209	1.3572883906532207
forc_210	1.4483535020461185
forc_211	1.3666498610696087
forc_212	1.3792883401783886
forc_213	1.3844423677925914
forc_214	1.4035568076976381
forc_215	1.4145477757833451
forc_216	1.3563897033249557
forc_217	1.39454656439232
forc_218	1.4125088372643901
forc_219	1.3938679459774697
forc_220	1.3802546653600112
forc_221	1.4728802651076198
forc_222	1.4156359578932811
forc_223	1.4325314792245167
forc_224	1.4292698801457087
forc_225	1.3678079083451151
forc_226	1.3885025070046544
forc_227	1.3942465933658734
forc_228	1.4022341110951064
forc_229	1.4354593943480092
forc_230	1.4020570777408763
forc_231	1.401481072019693
forc_232	1.4094804464682233
forc_233	1.3844548646453216
forc_234	1.4334767200313636
forc_235	1.4283374517088008
forc_236	1.3632620988804955
forc_237	1.3631804853051785
forc_238	1.4471060427997322
forc_239	1.408992181186629
forc_240	1.410702345304947
forc_241	1.3820818187649992
forc_242	1.4056253484123984
forc_243	1.3770359825879137
forc_244	1.4214037771875827
forc_245	1.4362103924031655
forc_246	1.381684297930582
forc_247	1.4209846599488825
forc_248	1.3967339298213481
forc_249	1.3334007538616632
forc_250	1.3967466254923737
forc_251	1.4397667857254435
forc_252	1.420684149926754
forc_253	1.3911523215206985
forc_254	1.438774161004543
forc_255	1.3407170596539655
forc_256	1.4409108312948835
forc_257	1.406735323406528
forc_258	1.420916891125423
forc_259	1.4215129425192738
forc_260	1.3750161846788866
forc_261	1.3408379041406684
forc_262	1.3715943128732075
forc_263	1.3406612349176925
forc_264	1.4153061345202647
forc_265	1.4237610457491714
forc_266	1.4348363479196238
forc_267	1.3997212795823688
forc_268	1.3811335310973298
forc_269	1.4259541113039744
forc_270	1.4239172896620695
forc_271	1.4112206057257466
forc_272	1.4026546978318928
forc_273	1.4136623050656392
forc_274	1.3757469088363763
forc_275	1.3880288219945522
